Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
60697,6,7,6.34,28141,743999.8192,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
59749,5,8,4.23,27810,895737.1334,"24282 Paul Valley
West Perry, MI 03169-5806"
56974,8,7,4.33,40695,1453974.506,"61938 Brady Falls
Lewisfort, DE 61227"
82174,4,7,2.03,38854,1125692.507,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
64627,5,7,4,27785,975429.4928,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
90499,6,4,3.04,33970,1240763.766,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
59324,7,8,4.07,37521,1577017.76,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
77812,5,7,3.24,33755,1246830.188,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
68653,6,6,4.42,39356,1170720.894,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
55041,7,9,5.36,30122,1071279.21,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
50219,6,7,6.29,16811,534305.1323,"039 Jordan Pike
Emilyville, ID 27442"
55909,5,9,6,22355,936368.9634,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
74373,6,7,2.07,39395,1199193.831,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
78668,5,8,4.1,27638,1233220.009,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
78700,6,7,3.01,22837,1081150.125,"7585 Lynn Loop
East Judy, WV 73336"
53128,5,5,2.39,32948,524712.7661,"Unit 1388 Box 9350
DPO AP 70848"
17797,5,7,2.5,47162,302355.836,"9932 Eric Circles
Lake Martha, WY 34611-6127"
58567,7,5,2.17,39705,1026817.4,"7896 Walker Spring
Loriport, MH 72956"
75538,8,8,6.3,32778,1762214.68,"549 Darren Plaza
Lake Kevin, UT 27155"
46147,7,8,4.43,27161,882057.1706,"90634 Michelle Valleys
North Victoria, WV 99370"
70421,7,8,4.44,43184,1744932.211,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
62614,5,7,6.32,26889,1153871.47,"43087 Jerome Field
West Deborah, SD 49213"
66395,7,7,3.18,39741,1499988.88,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
73947,5,8,6.35,35261,1109588.38,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
69145,7,6,3.22,19031,980177.3051,"Unit 8108 Box 5159
DPO AP 04678"
77279,6,7,2.13,21726,1323952.027,"08639 Garcia Port
Anthonybury, CT 17971"
86754,7,6,4.02,43017,1662494.736,"91863 Curtis Point
New Richard, AK 99996-7554"
74400,6,7,6.36,41085,1417819.74,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
49408,6,6,3.32,26881,549976.1456,"7796 Joseph Burg
Danielsside, RI 70370"
62280,6,6,4.12,35264,1054770.981,"173 Mendoza Land
West John, NJ 57690"
73078,6,6,3.32,54916,1415647.553,"3288 Lee Pass
South Julieton, PW 02759-4964"
72943,5,7,6.41,24378,948788.2757,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
63820,6,8,4.09,27826,1159596.519,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
73265,8,7,3.24,21031,1547133.396,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
68488,6,7,5.08,18268,1186688.506,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
55194,7,5,4.01,32538,772111.9721,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
77435,6,5,3.06,36252,1172730.156,"4872 Delgado Ramp
North James, IA 36544"
66159,4,7,2.28,37099,1111085.017,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
60503,8,6,4.23,33580,1022781.171,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
60911,6,7,4.2,43348,1274474.546,"PSC 9354, Box 0703
APO AA 58696-1278"
73932,6,5,4.32,36543,1213530.85,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
59540,6,7,5.43,58601,1411730.477,"122 Russo Neck
South Kevin, KY 20712-5282"
56548,5,7,3.13,37585,858685.5659,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
65950,5,7,3.28,40111,1200961.821,"7125 Mullins Cliff
Maryborough, WY 66971"
74533,7,6,4,49482,1520234.229,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
66423,7,7,6.36,31019,1360908.32,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
74334,5,6,4.12,41640,1360920.53,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
63538,5,7,3.27,43282,1146532.455,"10973 Clark Trafficway
Meyersbury, LA 63237"
83953,7,7,3.08,37283,1789098.521,"91733 Baker Orchard
South Kyle, KS 37301"
57279,5,7,3.17,44024,852099.464,"024 William Course
East Charlotteview, DE 69073-3104"
56554,6,7,3.15,29682,746096.7289,"PSC 4455, Box 3268
APO AP 45454"
75796,6,7,6.25,33198,1534479.907,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
70849,5,7,3.27,40459,1215608.531,"USCGC Thompson
FPO AA 13237-3887"
59787,6,7,3.43,32402,941594.3284,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
64826,4,8,4.38,60286,1204598.037,"Unit 2139 Box 3667
DPO AP 49517"
65926,8,7,3.28,34171,1597655.258,"253 Golden Island
East Donald, CT 91882"
64419,7,9,6.16,39318,1492011.496,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
58544,9,7,4.28,30866,1421216.504,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
68792,5,7,4.11,48423,1132522.901,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
82062,4,6,4.1,36271,1102821.438,"708 Pena Ramp
Terryburgh, CA 31572-1304"
80660,5,7,6.24,52947,1856211.35,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
66668,6,8,3.35,47075,1687998.933,"Unit 3857 Box 9497
DPO AE 92239"
64722,6,7,4.48,36116,1063423.007,"042 Mitchell Mountains
Adamsview, OR 44424"
65200,6,7,3.2,28366,1177289.886,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
74580,5,6,3.07,42806,1173474.379,"38449 Shaw Glen
Pattonside, TX 98415"
76274,8,5,3.39,46975,1637259.999,"82387 Hensley Bypass
Danielmouth, ME 30791"
67562,5,8,4.04,35518,1238938.291,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
48905,5,5,3.38,32961,201898.0866,"2124 Garcia Viaduct
North Kellytown, DC 30864"
72146,6,8,6.06,28883,1439506.102,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
70806,4,6,3.3,29269,585608.6326,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
65383,8,7,3.46,35114,1294685.159,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
95450,7,7,3.33,39389,2014851.344,"035 Mark Bridge
West Craig, MT 78649"
73699,6,7,4.33,51815,1840236.006,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
66264,6,7,4.41,49830,1441421.913,"001 Steve Plaza
Jessicastad, UT 25190"
75395,7,8,4.48,22268,1498640.551,"238 Anthony Drive
Acostahaven, AS 62753-6637"
65985,7,6,2.38,21867,954746.5764,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
66477,7,6,2.37,32459,1124635.932,"95779 Walton Square
Bakershire, PR 49599"
69284,5,7,3.45,40283,1169944.248,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
70404,6,6,2.02,37128,1114430.953,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
74218,8,7,4.37,46771,1783534.839,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
63442,6,7,3.22,48062,1302933.248,"Unit 3405 Box 4348
DPO AP 68816-2990"
57494,7,7,4.41,47039,1241483.612,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
81544,6,6,2.14,9816,954114.544,"Unit 5889 Box 7282
DPO AE 41177-0399"
78634,5,8,3.24,43729,1555320.5,"075 Andrea Green Suite 201
Johnshire, KS 50389"
52203,5,4,2.23,42166,404976.3659,"6811 Spears Trail Suite 081
East Troy, MS 43910"
67980,6,6,2.44,25909,1073183.76,"69401 Danielle Motorway
New Dennis, IL 53971"
78568,5,6,2.29,41017,1422195.879,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
55473,5,6,3.2,15354,340605.2113,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
67579,6,8,6.32,21763,1170959.526,"744 Hill Ports
Mooreside, MH 20945-2825"
61456,7,6,4.19,30821,942838.1647,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
60815,7,8,4.11,31234,1401613.92,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
51217,5,9,3.41,47089,1175504.486,"USS Harrington
FPO AE 12326"
63028,5,6,2.3,35992,608794.2467,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
62485,6,7,5.13,26883,946943.0362,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
73923,7,7,6.04,58745,1819900.637,"232 Allen Ridge
West Jasonview, CT 93021"
79738,7,7,2.17,28307,1463130.273,"5042 Ricky Road
New Candice, MN 40661-8809"
63890,5,8,5.49,43416,1252391.18,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
67310,7,8,5.28,43311,1714445.175,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
73146,4,7,3.18,49463,1291759.393,"8533 Sparks Lodge
New Kevin, GA 98179"
86924,7,8,6.32,28719,1809154.289,"922 Mark Lodge
Matthewton, ID 71131-3139"
74384,7,5,2.3,17117,1200539.361,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
67478,7,8,5.1,29764,1300265.21,"PSC 8479, Box 0952
APO AA 33741"
71203,4,7,4.37,34207,997448.7281,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
85845,7,9,3.46,46478,2152959.409,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
72139,7,8,5.45,35800,1629983.847,"156 Conner Lane
East Brittany, MI 26733"
44806,4,5,3.1,57391,497579.4466,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
67504,5,6,4.36,37441,890112.5493,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
74706,5,6,2.05,39681,1064685.699,"504 Robertson Streets
Jamesshire, WA 56754"
68898,7,8,6.39,39516,1530124.016,"777 Ross Crossroad
Kaiserville, RI 24445"
58118,8,6,4.36,35598,1246246.828,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
77643,6,5,4.45,35512,1240754.932,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
67770,8,7,4.22,33255,1760734.69,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
74411,6,7,6.44,43538,1393746.76,"4930 James Flats
New Shannon, NJ 75829-8040"
73101,4,9,4.35,29498,1172385.898,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
58708,5,6,4.07,15970,483986.109,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
63876,7,7,3.37,38053,1388530.157,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
68343,6,8,6.2,40654,1721739.384,"4746 Morgan Forge
Diaztown, VT 79978"
73065,6,7,6.19,30699,1276448.792,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
67367,7,7,2.49,32547,1161742.677,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
66547,6,5,2.04,16742,786407.9451,"249 Susan Canyon
North Jessica, ID 13412"
73314,6,8,4.46,37809,1604920.973,"08091 Bush Course
New Michael, RI 47524-7511"
47681,7,8,5.13,50909,1230149.137,"PSC 6933, Box 3805
APO AP 50576"
67911,6,7,4.32,31380,1051644.554,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
69278,6,8,5.15,43718,1415073.614,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
67947,5,6,3.21,35198,1043483.915,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
90975,5,8,6.45,44426,1544379.748,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
61886,5,7,3.22,48727,1352135.967,"USCGC Hess
FPO AE 29193"
69402,7,8,3.44,29293,1505727.431,"0617 Neal Curve
South Daniel, AS 09326"
72969,6,8,4.2,31756,1416965.979,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
75582,6,7,4.33,31946,1046721.976,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
56241,6,7,2.18,32745,939040.0036,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
79413,6,7,3.26,17569,1383031.332,"764 Timothy Turnpike
North Audreymouth, TX 02395"
79618,5,7,3.49,29637,1072503.238,"862 Ryan Flat
West Larryborough, WV 11517"
67019,6,7,6.26,24997,1134397.758,"378 Evans Crest
East Shelbystad, HI 23326"
56063,5,5,4.14,39129,734827.508,"09897 Katherine Forge
North Johnside, NC 01211"
57078,6,7,4.27,33394,991892.3175,"2367 Noah Center
North Dakotashire, PA 99619-0890"
75955,4,7,5.04,34468,1057252.583,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
52576,7,7,4.06,41829,1237224.859,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
63313,6,8,4.41,43230,1442632.541,"87629 Shawn Crossing
North William, MN 71601-6188"
82527,6,8,4.46,43948,1877402.32,"2574 Shannon Alley
South Fred, OR 64217"
73205,7,7,6.4,35091,1394518.415,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
56357,6,5,3.25,38062,953939.3299,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
71317,7,7,5.33,21652,1219778.034,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
75047,5,9,3,32468,1287325.382,"PSC 8891, Box 6475
APO AP 28726-5123"
84474,7,6,2.47,38678,1739893.555,"623 Jackson Road Apt. 492
Sarahville, NM 19973"
68163,7,7,3.07,31844,1213382.223,"0575 Edward Cliff
Miguelmouth, NY 06408"
62784,8,5,3.31,35122,1007478.748,"6660 Alex Park
Barkerfort, WY 52781"
67010,7,8,3.22,39737,1528756.126,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326"
67437,7,7,2.05,29356,1182459.772,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626"
65968,7,8,3.14,35800,1474546.762,"842 Jackson Parkway
Angelabury, MI 68188-8699"
42816,8,7,4.18,47458,1078016.94,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649"
83348,5,5,3.14,48227,1453381.624,"0647 Ramirez Hill
New Crystalport, AZ 33060"
81700,5,6,4.41,39527,1495012.965,"4233 Chase Fields
East Vanessabury, OR 85375-7861"
56144,5,7,4.04,45084,714148.4148,"0606 Ricardo Drive
Williamton, GU 79243"
59514,5,6,3.18,44162,894292.0474,"14157 Jones Parkway Suite 319
North Haley, AK 18534"
78379,6,6,3.2,31357,1159841.831,"2579 Pamela Shoals
North Christianhaven, TX 95259"
70877,7,7,5.07,36033,1195986.299,"PSC 5171, Box 6452
APO AA 44610-4655"
61527,7,9,6.11,27308,1381430.63,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067"
65317,7,7,2,55799,1534889.853,"32521 Martinez Highway
Stephaniehaven, NY 78577"
76269,7,6,3.17,38650,1494125.33,"9109 Omar View Suite 461
East Sarahfort, WI 02969"
48531,7,9,5.3,39731,1356146.261,"5611 Chandler Mill
East Brianfort, AK 51236-0093"
82907,6,6,4.26,38820,1454943.074,"PSC 5599, Box 5942
APO AP 55563-1953"
63118,5,6,2.31,43092,774118.1878,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338"
75861,4,5,3.48,41004,889113.2389,"019 Moore Center Apt. 643
West John, KY 54923"
68845,5,7,3.29,48392,1211102.211,"Unit 3192 Box 6415
DPO AP 76779-7624"
52446,6,7,3.11,32935,658646.1847,"20185 Mary Crest
South Reneeville, VI 91892"
69343,6,8,3.36,37082,1400104.871,"18067 Williams Roads Suite 683
South Christineton, CO 76227"
55932,7,6,4,42488,1262017.792,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132"
53307,5,6,2.15,39063,553077.2126,"9643 Oscar Valley
North Richardstad, ME 14629-9980"
56977,6,7,3.08,46376,1203247.89,"46619 Morgan Squares
Stevenfurt, FM 70548"
51296,6,8,6.18,32079,1115323.015,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414"
63995,8,7,5.25,24748,1301881.417,"USCGC Friedman
FPO AE 57606-0743"
71915,6,6,4.47,27714,1006687.387,"038 Anderson Club Suite 485
Richardsonfort, MA 22267"
62138,5,7,5.21,19046,749383.0726,"014 Shaun Gardens
Lake Todd, HI 08110"
78051,5,6,4.15,27790,1075596.587,"2606 Stout Inlet
Port Brenda, SC 59596-5906"
67371,5,7,4.37,24798,739870.7936,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902"
59363,7,8,3.49,44723,1442945.145,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228"
57003,7,6,3.14,29595,828497.0671,"089 Jessica Dale
West Melissa, PW 59364"
68989,6,8,6.37,32630,1373290.861,"USNS Hamilton
FPO AA 90003"
70970,5,6,3.18,24834,925566.3313,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795"
82252,8,8,6.49,18409,1552536.764,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868"
71306,6,7,2.04,43284,1335904.501,"3890 Hunt Trail
Davidhaven, OR 04793"
70922,6,6,3.28,29390,960808.2911,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814"
70739,7,7,6.28,35149,1405933.019,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433"
58098,6,6,3.04,19903,619087.6936,"31995 Moore Brook
New Melissa, MO 19787"
51274,7,7,2.09,53812,1329273.228,"Unit 5683 Box 5483
DPO AA 78774-2982"
76327,5,5,3.44,42780,1261843.844,"77194 Carlson Causeway Apt. 904
West John, KY 70976"
63584,6,6,4.29,46340,1175781.418,"73601 Donaldson Squares
Port John, VI 73473"
86340,5,6,3.01,35631,1437053.557,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033"
79471,6,8,6.21,36616,1594415.226,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442"
55880,6,5,2.07,37360,931357.9954,"54993 James Place Suite 797
South Kenneth, CA 86457-1211"
40504,7,7,3.14,45979,798639.6542,"6799 Downs Plaza
Randallberg, NH 17910-5241"
83394,6,6,2.08,30488,1451739.625,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110"
64501,6,7,5.33,43869,1278991.689,"8173 Rush Wells
New Stephanie, MS 56356"
59570,6,7,4.24,31295,885920.5532,"762 Corey Landing Suite 528
Billymouth, AZ 48958"
69280,7,7,4.33,40291,1425632.542,"077 Laura Curve
New Christopherview, AZ 15138"
66342,6,7,3.06,11793,901881.7427,"5342 Dean Overpass
Matthewville, MI 08613"
73367,6,9,5.25,23685,1521730.791,"469 William Shore Suite 726
South Krystalchester, MP 47720"
57122,6,6,2.4,41973,716771.0057,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285"
61979,8,8,5.37,56957,1696717.107,"017 Bowers Field
Williamsstad, OK 15934-8122"
54300,7,7,2.49,39513,819598.0078,"05946 Wong Spur
Susanshire, NY 67746-2473"
71424,6,9,3.49,37243,1584213.957,"9297 Cole Highway
Patrickhaven, DC 02945-8988"
57353,8,6,4.44,16906,798892.515,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496"
44731,4,9,5.12,39633,601973.0017,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214"
76175,5,10,4.28,30761,1456486.293,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191"
66575,6,7,2.17,69575,1702406.039,"551 Macdonald Viaduct
West Stephanie, TN 55360"
91731,5,8,6.3,33102,1566471.008,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106"
75487,6,8,4.02,41105,1592210.176,"5036 Peterson Throughway
East Megan, GA 08456-4696"
58088,6,6,4.21,51925,937628.3467,"Unit 5584 Box 2763
DPO AE 40544"
76319,7,6,3.45,48026,1558547.578,"09437 Carolyn Mountain
Knappview, CA 70608-7504"
60575,6,7,2.29,32159,1156329.274,"5052 Chloe Lights Apt. 374
North Scott, IA 81431"
69607,7,8,3.35,34609,1514349.692,"8781 Robert Lakes Suite 880
East Wendy, ID 51813"
67057,5,7,5.25,25135,1039107.326,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399"
60641,5,5,2.32,43120,809089.6719,"0956 Isabella Lodge
East Valeriefurt, CO 64441"
69032,6,6,3.23,15660,675536.3915,"36736 Kristi Radial
Port Carl, ID 35292-9269"
80356,5,10,5.02,16215,1373589.804,"10492 Reed Track
North Ericstad, IA 78774-8363"
60081,7,8,4.3,60196,1690091.019,"Unit 6269 Box 9041
DPO AE 13073"
61881,7,7,5.38,35597,1253370.149,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878"
59591,7,6,2.03,24154,774073.5619,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260"
89831,5,8,6.37,45335,1741959.834,"77610 Evan Field Apt. 712
West Shannonland, WI 30751"
72175,7,7,2.09,50306,1705762.788,"11385 Thomas Ford
New Karinaton, HI 01691-9923"
67589,6,6,2.34,33203,1071109.917,"385 Barnes Lock Suite 561
Lake Kellytown, NJ 74310"
77300,5,7,4.49,29499,1118047.991,"039 Chan Meadows
South Amandahaven, TN 78068"
65383,5,8,6.08,41723,1165253.033,"945 Schneider Villages Apt. 519
West Brittneyburgh, ID 36371-1622"
71145,6,7,2.31,35643,1280910.19,"15288 Steven Extensions Suite 209
Zacharybury, KS 87707-6205"
61053,6,6,2.02,40676,841122.8824,"8559 Cooper Cove Suite 935
Katherinemouth, NE 81147-6595"
65126,6,7,4.19,37643,1228810.745,"90043 White Lane Apt. 673
Williamburgh, DE 67265"
51949,6,8,5.28,35336,1086072.071,"40094 Yates Lodge Suite 008
Fergusonborough, LA 87592-4342"
75898,5,7,3.33,34163,1204372.295,"17853 Michael Motorway
Danielfurt, MH 28095"
71468,6,6,3.35,43269,1345004.12,"48466 Brown Port Apt. 116
South Chelseatown, CO 28752"
53288,6,7,3.32,45152,1116902.345,"0205 Rose Crescent
East Ritaside, MD 10967"
61503,5,7,3.12,37651,822431.7303,"18941 Ray Ports
East Nicoleland, OR 67363"
68896,6,8,4.47,28395,1360623.694,"1515 Watson Fort
Christopherberg, MP 90562"
91159,7,7,3.01,54861,2298379.487,"170 Smith Wall
South Christopherhaven, AZ 87521"
63375,7,8,3.41,45633,1400498.268,"064 Kaufman River
Danielburgh, CO 09090"
59696,5,6,2.04,20703,566848.7321,"295 Angela Harbors
East Patriciaburgh, GA 95388"
63184,6,8,5.08,58691,1367586.278,"950 Luis Avenue Suite 364
West Nicole, OR 03658-3559"
61178,7,7,5.13,26396,1113373.52,"27945 Clark Tunnel
Kleinmouth, NV 19751-3095"
58642,5,6,3.42,35132,721974.5515,"6163 Michael Orchard
Gallagherborough, GA 48395"
53112,5,6,4.25,40367,685503.9903,"4158 Drew Plains Apt. 975
Ericaview, MP 60784"
40367,5,8,5.07,16349,152071.8747,"503 Howard Pass Apt. 427
Fernandezborough, GA 02514"
62207,7,7,5.38,34318,1280431.574,"2084 Carter Highway Suite 935
New Stevenmouth, DE 67121"
57478,5,7,6.35,23650,568703.1838,"2105 Lauren Radial
Lake Michellestad, FL 92096-6812"
55630,6,9,6,38943,1200764.844,"3407 Preston Pine
East Mark, NY 86626-3319"
72399,7,8,6.15,41662,1607161.637,"719 Raymond Route
West Diane, ME 60200-7803"
89869,5,7,5.45,30102,1421715.415,"310 Paul Mill Suite 863
Pamelaland, AS 20202-1133"
59801,4,5,2.03,33535,311111.2006,"47705 Bethany Forge Suite 965
North Heatherhaven, ND 10371"
61957,8,7,4.19,38448,1338044.383,"791 Noble Port
Michaelland, OK 69198"
71123,7,6,3.43,44020,1417870.983,"143 Thomas Rapid Apt. 929
West Laurieport, ND 69617"
55203,4,8,3.4,28425,796389.438,"690 Lozano Inlet
Michelleville, AL 07048-6472"
79298,7,5,3.44,15753,1310207.133,"3591 Pham Spring Suite 077
Lisaport, CT 43572"
65071,7,6,4.3,24853,994897.7278,"Unit 9227 Box 8732
DPO AE 73770"
68495,7,7,5.46,13999,1202987.829,"530 Johnson Circles
Cathyborough, MN 30306"
55702,6,6,3.08,40088,768751.9005,"029 Patricia Bridge Apt. 540
Tranmouth, MP 59378-9231"
57234,8,6,2.27,37375,1211655.305,"880 Julie Union Suite 360
Sarahchester, LA 70074-3596"
85314,6,7,4.21,23974,1540418.222,"85227 Kevin Stream Suite 299
Lake Todd, WV 65286"
60225,5,5,3.23,42183,712228.4243,"97544 Williams Unions Suite 893
South Harry, ME 21119"
73874,7,7,3.17,33336,1525533.407,"844 Hanson Points
East Lisa, ME 83883"
63149,7,6,2.04,37579,1034218.402,"171 Rocha Via
Cassandrafort, RI 90064-6234"
58594,5,6,2.04,39288,874103.6606,"2758 Joshua Mission
Lake Chelsea, AS 18304-4644"
73840,6,8,4.19,47603,1912825.285,"75441 Ritter Corners
North Roberttown, UT 52401-4300"
